method,average_precision,roc_auc,brier_score,log_loss,ece
isotonic,0.94059390676513,0.9386508134107134,0.08130049308910538,0.2702759358376471,0.012686087234455164
sigmoid,0.943867800025217,0.9389524640760698,0.08149185004936543,0.2728102185147189,0.020486475050595983
uncalibrated,0.943867800025217,0.9389524640760698,0.08510378217686482,0.2884755594383454,0.053213344376439965
